iso3,country,pillar,module,indicator_id,indicator_name,indicator_type,variable_name,question,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,row_order,question_order,wip,wib,wim,regional_hub,un_region,barometer_region
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for protection of personal data?",1,response,,,,,54.0,G.GOVERNANCE.DPL,0.0,50948,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for protection of personal data?",1,justification,"Togo has a comprehensive data protection Act voted in 2019. However, the country has not yet established the Agency that will enforce the law. 

(1) The Togolese Constitution of October 14, 1992, https://www.constituteproject.org/constitution/Togo_2007.pdf?lang=en 
(2) The Electronic Communications Act No. 2012-018  http://www.artp.tg/Download/Telecommunication/Loi/loi_2013-003_portant_modification_loi_2012-018_du_17_decembre_2012_communications_electorniques.pdf 
(3) The he Electronic Transactions Act No. 2017-007 adopted in 2017, http://jo.gouv.tg/sites/default/files/JO/JOS_07_07_2017-62E%20ANNEE%20N%C2%B021%20QUARTO.pdf
(4) The Data Protection Act (DPA) https://numerique.gouv.tg/wp-content/uploads/2020/01/Loi-n-2019-014-du-29-octobre-2019-relative-a-la-protection-des-donnees-a-caractere-personnel-in-JO29102019.pdf",,,,,G.GOVERNANCE.DPL,1.0,50948,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,1,1,example,"[The Togolese Constitution of October 14, 1992](https://www.constituteproject.org/constitution/Togo_2007.pdf?lang=en)",,,,,G.GOVERNANCE.DPL,3.0,50948,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,2,1,example,[The Electronic Communications Act No. 2012-018](http://www.artp.tg/Download/Telecommunication/Loi/loi_2013-003_portant_modification_loi_2012-018_du_17_decembre_2012_communications_electorniques.pdf),,,,,G.GOVERNANCE.DPL,3.1,50948,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,3,1,example,[The he Electronic Transactions Act No. 2017-007 adopted in 2017](http://jo.gouv.tg/sites/default/files/JO/JOS_07_07_2017-62E%20ANNEE%20N%C2%B021%20QUARTO.pdf),,,,,G.GOVERNANCE.DPL,3.2,50948,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,4,1,example,[The Data Protection Act (DPA) No. 2019-014](https://numerique.gouv.tg/wp-content/uploads/2020/01/Loi-n-2019-014-du-29-octobre-2019-relative-a-la-protection-des-donnees-a-caractere-personnel-in-JO29102019.pdf),,,,,G.GOVERNANCE.DPL,3.3,50948,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a,Existence,2,response,,,,1.0,1.0,G.GOVERNANCE.DPL,0.0,50949,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXISTS,What is the nature of the framework?,4,response,A framework exists and has the force of law.,2,1.0,,,G.GOVERNANCE.DPL.a,0.0,50950,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXISTS,2;Please identify the framework(s) you have assessed (e.g. name of law(s) or regulations),4,supporting,"The Togolese Constitution of October 14, 1992 lays the framework for data protection and privacy and guarantees the ""respect for the private life, honor, dignity and image"" of every citizen. Article 29 of the constitution states that ""the State guarantees the secrecy of correspondence and telecommunications. Every citizen has the right to the secrecy of his correspondence and of his communications and telecommunications"". (1). 

On the question of the protection of personal data, recent digital laws are becoming more precise as they are enacted. In order of appearance, the Electronic Communications Act No. 2012-018 (2)(amended by Law No. 2013-003) and the Electronic Transactions Act No. 2017-007 adopted in 2017 was the first law in Togo's history which refers to the concept of ""personal data"" clearly. (3)

The law dedicated to the protection of personal data in Togo is the Data Protection Act (DPA) n°2019-014 of October 29, 2019 relating the protection of personal data. It regulates the collection, processing, transmission, storage and use of personal data. It applies to individuals, the State, local communities, private and public companies, as well as to automated or non-automated processing of data carried out within the territory of Togo or in any jurisdiction where the Togolese laws apply (4). 

SOURCES:
(1) https://www.constituteproject.org/constitution/Togo_2007.pdf?lang=en 
(2) http://www.artp.tg/Download/Telecommunication/Loi/loi_2013-003_portant_modification_loi_2012-018_du_17_decembre_2012_communications_electorniques.pdf 
(3)http://jo.gouv.tg/sites/default/files/JO/JOS_07_07_2017-62E%20ANNEE%20N%C2%B021%20QUARTO.pdf

(4) https://numerique.gouv.tg/wp-content/uploads/2020/01/Loi-n-2019-014-du-29-octobre-2019-relative-a-la-protection-des-donnees-a-caractere-personnel-in-JO29102019.pdf",,,,,G.GOVERNANCE.DPL.a,2.1,50950,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e,Elements,2,response,,,,100.0,54.0,G.GOVERNANCE.DPL,0.0,50951,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1,Rights and responsibilities:,3,response,,,,80.0,64.0,G.GOVERNANCE.DPL.e,0.0,50952,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
TGO,Togo,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.CONSENT,The framework provides data subjects with rights of choice or consent.,4,response,Yes,2,1.0,16.0,16.0,G.GOVERNANCE.DPL.e.e1,0.0,50953,0.1,0.03,0.2,Local Development Research Institute (LDRI),Western Africa,Africa
